name,type,time,amount,month,weekday,monthday,yearday,hour,minute,min15,dayquarter
SplashandDash,Services,2016-05-13T20:27:00Z,1,5,Fri,13,134,14,27,2016-05-13T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-13T20:27:00Z,-0,5,Fri,13,134,14,27,2016-05-13T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T19:31:00Z,23.58,5,Mon,16,137,13,31,2016-05-16T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T17:09:00Z,18.87,5,Mon,16,137,11,9,2016-05-16T17:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T17:47:00Z,23.58,5,Mon,16,137,11,47,2016-05-16T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T17:50:00Z,23.58,5,Mon,16,137,11,50,2016-05-16T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:23:00Z,18.87,5,Mon,16,137,15,23,2016-05-16T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:31:00Z,14.15,5,Mon,16,137,15,31,2016-05-16T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:33:00Z,47.17,5,Mon,16,137,15,33,2016-05-16T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T21:36:00Z,47.17,5,Mon,16,137,15,36,2016-05-16T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T14:47:00Z,-1,5,Mon,16,137,8,47,2016-05-16T15:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-16T14:47:00Z,-0,5,Mon,16,137,8,47,2016-05-16T15:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T19:37:00Z,30,5,Tues,17,138,13,37,2016-05-17T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T19:53:00Z,80,5,Tues,17,138,13,53,2016-05-17T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T16:42:00Z,20,5,Tues,17,138,10,42,2016-05-17T16:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T17:38:00Z,25,5,Tues,17,138,11,38,2016-05-17T17:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T18:03:00Z,20,5,Tues,17,138,12,3,2016-05-17T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T18:05:00Z,20,5,Tues,17,138,12,5,2016-05-17T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T18:59:00Z,20,5,Tues,17,138,12,59,2016-05-17T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T20:14:00Z,25,5,Tues,17,138,14,14,2016-05-17T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:22:00Z,1,5,Tues,17,138,15,22,2016-05-17T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:25:00Z,25,5,Tues,17,138,15,25,2016-05-17T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:27:00Z,20,5,Tues,17,138,15,27,2016-05-17T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T21:40:00Z,40,5,Tues,17,138,15,40,2016-05-17T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T22:16:00Z,10,5,Tues,17,138,16,16,2016-05-17T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T22:27:00Z,10,5,Tues,17,138,16,27,2016-05-17T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-17T15:20:00Z,5,5,Tues,17,138,9,20,2016-05-17T15:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:16:00Z,25,5,Wed,18,139,13,16,2016-05-18T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:21:00Z,40,5,Wed,18,139,13,21,2016-05-18T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:35:00Z,25,5,Wed,18,139,13,35,2016-05-18T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:38:00Z,20,5,Wed,18,139,13,38,2016-05-18T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T19:56:00Z,7,5,Wed,18,139,13,56,2016-05-18T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T17:57:00Z,20,5,Wed,18,139,11,57,2016-05-18T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:18:00Z,12,5,Wed,18,139,12,18,2016-05-18T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:20:00Z,12,5,Wed,18,139,12,20,2016-05-18T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:24:00Z,16,5,Wed,18,139,12,24,2016-05-18T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:53:00Z,5,5,Wed,18,139,12,53,2016-05-18T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T18:59:00Z,30,5,Wed,18,139,12,59,2016-05-18T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:07:00Z,22,5,Wed,18,139,14,7,2016-05-18T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:07:00Z,6,5,Wed,18,139,14,7,2016-05-18T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:14:00Z,36,5,Wed,18,139,14,14,2016-05-18T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-18T20:22:00Z,50,5,Wed,18,139,14,22,2016-05-18T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-19T17:28:00Z,20,5,Thurs,19,140,11,28,2016-05-19T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-19T17:34:00Z,20,5,Thurs,19,140,11,34,2016-05-19T17:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:25:00Z,25,5,Fri,20,141,13,25,2016-05-20T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:29:00Z,22.5,5,Fri,20,141,13,29,2016-05-20T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:43:00Z,70,5,Fri,20,141,13,43,2016-05-20T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T19:50:00Z,125,5,Fri,20,141,13,50,2016-05-20T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T17:45:00Z,25,5,Fri,20,141,11,45,2016-05-20T17:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T17:46:00Z,20,5,Fri,20,141,11,46,2016-05-20T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T18:01:00Z,25,5,Fri,20,141,12,1,2016-05-20T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T18:29:00Z,70,5,Fri,20,141,12,29,2016-05-20T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T18:50:00Z,30,5,Fri,20,141,12,50,2016-05-20T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:04:00Z,25,5,Fri,20,141,14,4,2016-05-20T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:05:00Z,20,5,Fri,20,141,14,5,2016-05-20T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:21:00Z,40,5,Fri,20,141,14,21,2016-05-20T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:25:00Z,15,5,Fri,20,141,14,25,2016-05-20T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-20T20:42:00Z,10,5,Fri,20,141,14,42,2016-05-20T20:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T19:23:00Z,8,5,Sat,21,142,13,23,2016-05-21T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T19:25:00Z,8,5,Sat,21,142,13,25,2016-05-21T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T18:22:00Z,23,5,Sat,21,142,12,22,2016-05-21T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-21T21:10:00Z,15,5,Sat,21,142,15,10,2016-05-21T21:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T16:14:00Z,-8,5,Mon,23,144,10,14,2016-05-23T16:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T16:16:00Z,-1.75,5,Mon,23,144,10,16,2016-05-23T16:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T18:33:00Z,25,5,Mon,23,144,12,33,2016-05-23T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T21:18:00Z,20,5,Mon,23,144,15,18,2016-05-23T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T22:05:00Z,20,5,Mon,23,144,16,5,2016-05-23T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-23T22:08:00Z,20,5,Mon,23,144,16,8,2016-05-23T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:07:00Z,27,5,Tues,24,145,13,7,2016-05-24T19:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:25:00Z,18,5,Tues,24,145,13,25,2016-05-24T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:26:00Z,15,5,Tues,24,145,13,26,2016-05-24T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T19:43:00Z,30,5,Tues,24,145,13,43,2016-05-24T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T16:21:00Z,45,5,Tues,24,145,10,21,2016-05-24T16:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T17:25:00Z,55,5,Tues,24,145,11,25,2016-05-24T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T18:04:00Z,10,5,Tues,24,145,12,4,2016-05-24T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T18:25:00Z,40,5,Tues,24,145,12,25,2016-05-24T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T18:37:00Z,25,5,Tues,24,145,12,37,2016-05-24T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T20:09:00Z,-125,5,Tues,24,145,14,9,2016-05-24T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T20:13:00Z,18,5,Tues,24,145,14,13,2016-05-24T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T20:17:00Z,-29.58,5,Tues,24,145,14,17,2016-05-24T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T20:40:00Z,-4.81,5,Tues,24,145,14,40,2016-05-24T20:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T22:16:00Z,20,5,Tues,24,145,16,16,2016-05-24T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-24T22:54:00Z,18,5,Tues,24,145,16,54,2016-05-24T23:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T16:35:00Z,-18.17,5,Wed,25,146,10,35,2016-05-25T16:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T17:01:00Z,50,5,Wed,25,146,11,1,2016-05-25T17:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T17:55:00Z,27,5,Wed,25,146,11,55,2016-05-25T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T18:07:00Z,30,5,Wed,25,146,12,7,2016-05-25T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T20:20:00Z,10,5,Wed,25,146,14,20,2016-05-25T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T20:39:00Z,10,5,Wed,25,146,14,39,2016-05-25T20:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T20:59:00Z,50,5,Wed,25,146,14,59,2016-05-25T21:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T21:50:00Z,20,5,Wed,25,146,15,50,2016-05-25T22:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T21:50:00Z,20,5,Wed,25,146,15,50,2016-05-25T22:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T22:22:00Z,9,5,Wed,25,146,16,22,2016-05-25T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T22:25:00Z,25,5,Wed,25,146,16,25,2016-05-25T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T22:25:00Z,12,5,Wed,25,146,16,25,2016-05-25T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-25T22:48:00Z,1,5,Wed,25,146,16,48,2016-05-25T23:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T19:01:00Z,70,5,Thurs,26,147,13,1,2016-05-26T19:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T19:35:00Z,15,5,Thurs,26,147,13,35,2016-05-26T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T19:44:00Z,30,5,Thurs,26,147,13,44,2016-05-26T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T19:47:00Z,30,5,Thurs,26,147,13,47,2016-05-26T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T19:49:00Z,15,5,Thurs,26,147,13,49,2016-05-26T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T16:51:00Z,120,5,Thurs,26,147,10,51,2016-05-26T17:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T18:11:00Z,10,5,Thurs,26,147,12,11,2016-05-26T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T20:09:00Z,100,5,Thurs,26,147,14,9,2016-05-26T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T20:18:00Z,10,5,Thurs,26,147,14,18,2016-05-26T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T20:22:00Z,-9,5,Thurs,26,147,14,22,2016-05-26T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T20:24:00Z,-14.43,5,Thurs,26,147,14,24,2016-05-26T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T20:36:00Z,75,5,Thurs,26,147,14,36,2016-05-26T20:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T21:54:00Z,20,5,Thurs,26,147,15,54,2016-05-26T22:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T21:57:00Z,10,5,Thurs,26,147,15,57,2016-05-26T22:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-26T22:16:00Z,20,5,Thurs,26,147,16,16,2016-05-26T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T19:01:00Z,30,5,Fri,27,148,13,1,2016-05-27T19:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T19:22:00Z,30,5,Fri,27,148,13,22,2016-05-27T19:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T16:49:00Z,-130,5,Fri,27,148,10,49,2016-05-27T17:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T17:01:00Z,120,5,Fri,27,148,11,1,2016-05-27T17:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T17:23:00Z,20,5,Fri,27,148,11,23,2016-05-27T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T17:55:00Z,15,5,Fri,27,148,11,55,2016-05-27T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T18:07:00Z,20,5,Fri,27,148,12,7,2016-05-27T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T18:37:00Z,45,5,Fri,27,148,12,37,2016-05-27T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T20:00:00Z,20,5,Fri,27,148,14,0,2016-05-27T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-27T20:18:00Z,20,5,Fri,27,148,14,18,2016-05-27T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T19:39:00Z,5,5,Mon,30,151,13,39,2016-05-30T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T19:39:00Z,15,5,Mon,30,151,13,39,2016-05-30T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T17:17:00Z,50,5,Mon,30,151,11,17,2016-05-30T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T17:17:00Z,10,5,Mon,30,151,11,17,2016-05-30T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T17:53:00Z,35,5,Mon,30,151,11,53,2016-05-30T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T18:36:00Z,30,5,Mon,30,151,12,36,2016-05-30T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T18:39:00Z,20,5,Mon,30,151,12,39,2016-05-30T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T18:53:00Z,20,5,Mon,30,151,12,53,2016-05-30T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T20:17:00Z,30,5,Mon,30,151,14,17,2016-05-30T20:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T20:50:00Z,30,5,Mon,30,151,14,50,2016-05-30T21:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T20:52:00Z,30,5,Mon,30,151,14,52,2016-05-30T21:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-30T21:34:00Z,6,5,Mon,30,151,15,34,2016-05-30T21:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T19:14:00Z,60,5,Tues,31,152,13,14,2016-05-31T19:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T17:14:00Z,30,5,Tues,31,152,11,14,2016-05-31T17:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T18:04:00Z,15,5,Tues,31,152,12,4,2016-05-31T18:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T18:27:00Z,20,5,Tues,31,152,12,27,2016-05-31T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T21:11:00Z,20,5,Tues,31,152,15,11,2016-05-31T21:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T21:24:00Z,30,5,Tues,31,152,15,24,2016-05-31T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T22:14:00Z,50,5,Tues,31,152,16,14,2016-05-31T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T22:36:00Z,20,5,Tues,31,152,16,36,2016-05-31T22:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T23:00:00Z,15,5,Tues,31,152,17,0,2016-05-31T23:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T23:08:00Z,20,5,Tues,31,152,17,8,2016-05-31T23:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T23:14:00Z,20,5,Tues,31,152,17,14,2016-05-31T23:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T15:56:00Z,-18.11,5,Tues,31,152,9,56,2016-05-31T16:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-05-31T15:59:00Z,-15.91,5,Tues,31,152,9,59,2016-05-31T16:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T19:44:00Z,-16.98,6,Wed,1,153,13,44,2016-06-01T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T19:48:00Z,20,6,Wed,1,153,13,48,2016-06-01T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T17:04:00Z,50,6,Wed,1,153,11,4,2016-06-01T17:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T17:57:00Z,15,6,Wed,1,153,11,57,2016-06-01T18:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T18:18:00Z,30,6,Wed,1,153,12,18,2016-06-01T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T18:26:00Z,10,6,Wed,1,153,12,26,2016-06-01T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T20:00:00Z,30,6,Wed,1,153,14,0,2016-06-01T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T20:51:00Z,20,6,Wed,1,153,14,51,2016-06-01T21:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T21:26:00Z,30,6,Wed,1,153,15,26,2016-06-01T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T22:15:00Z,30,6,Wed,1,153,16,15,2016-06-01T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T22:28:00Z,20,6,Wed,1,153,16,28,2016-06-01T22:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T22:51:00Z,20,6,Wed,1,153,16,51,2016-06-01T23:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-01T22:54:00Z,30,6,Wed,1,153,16,54,2016-06-01T23:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T19:57:00Z,35,6,Fri,10,162,13,57,2016-06-10T20:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T17:20:00Z,30,6,Fri,10,162,11,20,2016-06-10T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T18:18:00Z,20,6,Fri,10,162,12,18,2016-06-10T18:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T18:38:00Z,30,6,Fri,10,162,12,38,2016-06-10T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T18:43:00Z,20,6,Fri,10,162,12,43,2016-06-10T18:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T18:54:00Z,15,6,Fri,10,162,12,54,2016-06-10T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T20:13:00Z,20,6,Fri,10,162,14,13,2016-06-10T20:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T21:17:00Z,20,6,Fri,10,162,15,17,2016-06-10T21:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T21:47:00Z,15,6,Fri,10,162,15,47,2016-06-10T22:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T22:03:00Z,20,6,Fri,10,162,16,3,2016-06-10T22:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-10T22:32:00Z,-13.87,6,Fri,10,162,16,32,2016-06-10T22:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-11T17:30:00Z,20,6,Sat,11,163,11,30,2016-06-11T17:30:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-11T18:57:00Z,15,6,Sat,11,163,12,57,2016-06-11T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-11T18:59:00Z,25,6,Sat,11,163,12,59,2016-06-11T19:00:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-13T19:05:00Z,30,6,Mon,13,165,13,5,2016-06-13T19:15:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-13T19:36:00Z,20,6,Mon,13,165,13,36,2016-06-13T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-13T19:39:00Z,30,6,Mon,13,165,13,39,2016-06-13T19:45:00Z,2016-05-17T00:00:00Z
SplashandDash,Services,2016-06-13T20:00:00Z,-1.13,6,Mon,13,165,14,0,2016-06-13T20:00:00Z,2016-05-17T00:00:00Z
